15724,6.2,20
23331,6.8,68
31458,7,6
35423,6.4,75112
36606,6.5,232
39442,6.2,123
54724,3.4,1142
56166,2.4,19
57461,4.4,14
58950,7,117
58994,5.2,129
59680,3.4,89
59900,6.9,23
60144,6.1,16
60462,4.7,72
60477,7,34
60526,3.7,6
60551,7.2,13
60939,5.2,28
60951,4.7,222
61069,7.5,710
61151,6.6,24
61478,6.9,14
61494,4.1,323
61592,2.4,881
61902,7.4,5
62105,8.1,12
62181,6.5,274
62342,6.6,26
62359,7,21
62690,6.1,994
62701,6.4,53
62730,5.1,135
62784,6,20
62847,4.9,269
62936,6.1,227
62980,6.1,168
63018,6.1,99
63066,7.1,89
63070,6.5,11
63074,2.3,6
63132,3.3,191
63137,6.2,87
63142,3.2,756
63244,5.7,93
63309,5.8,6
63334,5.9,7
63337,6.5,65
63353,6,24
63498,6,6
63499,6.5,86
63550,6.1,311
63552,5.2,126
63604,7.1,27
63608,3.6,190
63666,7,51
63696,5.7,62
63751,5.5,314
63846,4.1,25
63860,4.6,38
63982,4.1,27
64004,6.1,210
64007,3.3,14
64021,6,107
64031,6,87
64038,8.2,1140
64065,4.1,18
64076,7.3,21
64078,4.4,29
64083,4.3,19
64105,6.6,237
64106,7.5,7035
64111,6.8,249
64121,6.2,31
64126,5.2,174
64140,5,187
64143,4.3,9
64144,6.8,90
64150,5.9,47
64165,7.6,3377
64170,4.7,101
64171,5.8,37
64177,7.1,7558
64182,6.9,27
64188,5.2,530
64190,6.9,24
64191,6.3,25
64197,6.2,51
64204,4.7,28
64225,7,1126
64261,5.9,31
64270,5.6,14
64273,6.7,791
64279,6.5,35
64283,6.1,109
64285,7.5,6957
64294,6.8,549
64321,3.8,165
64341,6.3,26
64343,4.4,222
64359,6.4,17
64362,3.9,12
64372,5.9,33
64377,7.1,27
64385,7.5,375
64386,6.4,330
64388,6.3,15
64411,5.7,209
64413,3.3,6
64420,6.3,58
64423,6.8,287
64432,4.6,33
64437,7,3975
64450,3.5,30
64451,7.6,4687
64465,6.6,195
64494,5.4,1334
64510,5.6,103
64522,7,18
64535,6.5,28
64546,7.9,1507
64549,4.1,14
64553,8.2,1302
64554,6.7,112
64574,5.5,255
64582,6.8,181
64586,7.1,12
64592,5.1,25
64593,6.5,319
64594,5.1,9
64598,5.5,757
64604,7.2,6
64607,5.2,35
64624,4.4,1213
64625,5,182
64628,6.9,113
64633,6,52
64649,6,222
64656,5.4,7
64659,4.6,7
64687,3.9,579
64702,5.4,5
64704,6.6,1020
64706,6.4,60
64711,5.7,19
64712,5.3,10
64727,5.2,891
64741,6.6,79
64746,5.2,42
64751,6.6,19
64753,6.1,14
64761,6.4,8
64768,4.1,37
64772,5.1,36
64774,6.5,238
64779,6.5,386
64781,6.9,864
64787,6.3,481
64788,6.4,29
64791,6.9,2551
64796,5.9,88
64803,4.3,14
64804,5.8,131
64806,6.9,2711
64820,6.9,271
64821,7.2,123
64822,8.4,5
64831,7.8,8
64832,7.3,30
64839,7.9,857
64843,7.1,405
64847,6,12
64848,5,57
64849,7,6
64863,7.4,25
64864,7.7,13
64881,7,356
64900,6.5,77
64902,6,277
64904,6.4,3005
64905,6.2,433
64930,5.7,93
64931,6.9,71
64932,6.3,248
64933,5.5,72
64945,2.7,20
64949,5.6,3037
64953,6.1,28
64956,7.6,36
64963,6.2,40
64964,5,104
64967,8.1,16
64980,6.8,16
64994,7.5,1501
65012,6,104
65034,6.8,8
65039,5.8,18
65040,4.7,64
65050,8,91
65073,6.4,4817
65080,5.7,69
65084,7,5
65117,7,138
65127,6.7,364
65128,7.6,36
65134,7,21823
65139,7.5,27
65140,7,104
65143,7.2,16074
65147,6.6,134
65161,6.2,177
65167,3.6,19
65168,5.5,1146
65171,5.9,71
65173,6,404
65174,4.6,39
65188,6.5,24
65189,5.1,15
65192,6.4,48
65210,5.5,237
65213,4.8,66
65221,7.3,67
65222,5.3,25
65227,4.6,13
65235,6.9,395
65248,6.2,12
65251,4.9,143
65253,4.7,9
65254,4.1,23
65256,4.9,8
65259,7.2,54
65265,5.8,123
65331,7.5,626
65359,5.8,18
65360,6.6,882
65363,5.1,47
